2021-06-25 19:32:13 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu4
2021-06-25 19:32:13 install libdebconfclient0:armhf <none> 0.256ubuntu3
2021-06-25 19:32:13 status half-installed libdebconfclient0:armhf 0.256ubuntu3
2021-06-25 19:32:13 status unpacked libdebconfclient0:armhf 0.256ubuntu3
2021-06-25 19:32:13 install libext2fs2:armhf <none> 1.45.7-1ubuntu2
2021-06-25 19:32:13 status half-installed libext2fs2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:13 status unpacked libext2fs2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:13 install libgcc-s1:armhf <none> 11-20210417-1ubuntu1
2021-06-25 19:32:13 status half-installed libgcc-s1:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:13 status unpacked libgcc-s1:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:13 install libgcrypt20:armhf <none> 1.8.7-2ubuntu2
2021-06-25 19:32:13 status half-installed libgcrypt20:armhf 1.8.7-2ubuntu2
2021-06-25 19:32:13 status unpacked libgcrypt20:armhf 1.8.7-2ubuntu2
2021-06-25 19:32:13 install libgmp10:armhf <none> 2:6.2.1+dfsg-1ubuntu2
2021-06-25 19:32:13 status half-installed libgmp10:armhf 2:6.2.1+dfsg-1ubuntu2
2021-06-25 19:32:13 status unpacked libgmp10:armhf 2:6.2.1+dfsg-1ubuntu2
2021-06-25 19:32:13 install libgpg-error0:armhf <none> 1.38-2build1
2021-06-25 19:32:13 status half-installed libgpg-error0:armhf 1.38-2build1
2021-06-25 19:32:13 status unpacked libgpg-error0:armhf 1.38-2build1
2021-06-25 19:32:13 install liblz4-1:armhf <none> 1.9.3-1build1
2021-06-25 19:32:13 status half-installed liblz4-1:armhf 1.9.3-1build1
2021-06-25 19:32:13 status unpacked liblz4-1:armhf 1.9.3-1build1
2021-06-25 19:32:13 install liblzma5:armhf <none> 5.2.5-1.0build2
2021-06-25 19:32:13 status half-installed liblzma5:armhf 5.2.5-1.0build2
2021-06-25 19:32:13 status unpacked liblzma5:armhf 5.2.5-1.0build2
2021-06-25 19:32:13 install libmount1:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:13 status half-installed libmount1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:13 status unpacked libmount1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:13 install libncurses6:armhf <none> 6.2+20201114-2build1
2021-06-25 19:32:13 status half-installed libncurses6:armhf 6.2+20201114-2build1
2021-06-25 19:32:13 status unpacked libncurses6:armhf 6.2+20201114-2build1
2021-06-25 19:32:13 install libncursesw6:armhf <none> 6.2+20201114-2build1
2021-06-25 19:32:13 status half-installed libncursesw6:armhf 6.2+20201114-2build1
2021-06-25 19:32:13 status unpacked libncursesw6:armhf 6.2+20201114-2build1
2021-06-25 19:32:13 install libpam-modules:armhf <none> 1.3.1-5ubuntu6
2021-06-25 19:32:13 status half-installed libpam-modules:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 status unpacked libpam-modules:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu6
2021-06-25 19:32:14 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 install libpam-runtime:all <none> 1.3.1-5ubuntu6
2021-06-25 19:32:14 status half-installed libpam-runtime:all 1.3.1-5ubuntu6
2021-06-25 19:32:14 status unpacked libpam-runtime:all 1.3.1-5ubuntu6
2021-06-25 19:32:14 install libpam0g:armhf <none> 1.3.1-5ubuntu6
2021-06-25 19:32:14 status half-installed libpam0g:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 status unpacked libpam0g:armhf 1.3.1-5ubuntu6
2021-06-25 19:32:14 install libpcre2-8-0:armhf <none> 10.36-2ubuntu5
2021-06-25 19:32:14 status half-installed libpcre2-8-0:armhf 10.36-2ubuntu5
2021-06-25 19:32:14 status unpacked libpcre2-8-0:armhf 10.36-2ubuntu5
2021-06-25 19:32:14 install libpcre3:armhf <none> 2:8.39-13build3
2021-06-25 19:32:14 status half-installed libpcre3:armhf 2:8.39-13build3
2021-06-25 19:32:14 status unpacked libpcre3:armhf 2:8.39-13build3
2021-06-25 19:32:14 install libprocps8:armhf <none> 2:3.3.16-5ubuntu3
2021-06-25 19:32:14 status half-installed libprocps8:armhf 2:3.3.16-5ubuntu3
2021-06-25 19:32:14 status unpacked libprocps8:armhf 2:3.3.16-5ubuntu3
2021-06-25 19:32:14 install libselinux1:armhf <none> 3.1-3build1
2021-06-25 19:32:14 status half-installed libselinux1:armhf 3.1-3build1
2021-06-25 19:32:14 status unpacked libselinux1:armhf 3.1-3build1
2021-06-25 19:32:14 install libsemanage-common:all <none> 3.1-1ubuntu1
2021-06-25 19:32:14 status half-installed libsemanage-common:all 3.1-1ubuntu1
2021-06-25 19:32:14 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-06-25 19:32:14 install libsemanage1:armhf <none> 3.1-1ubuntu1
2021-06-25 19:32:14 status half-installed libsemanage1:armhf 3.1-1ubuntu1
2021-06-25 19:32:14 status unpacked libsemanage1:armhf 3.1-1ubuntu1
2021-06-25 19:32:14 install libsepol1:armhf <none> 3.1-1ubuntu1
2021-06-25 19:32:14 status half-installed libsepol1:armhf 3.1-1ubuntu1
2021-06-25 19:32:14 status unpacked libsepol1:armhf 3.1-1ubuntu1
2021-06-25 19:32:14 install libsmartcols1:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:14 status half-installed libsmartcols1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:14 status unpacked libsmartcols1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:14 install libss2:armhf <none> 1.45.7-1ubuntu2
2021-06-25 19:32:14 status half-installed libss2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:14 status unpacked libss2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:14 install libsystemd0:armhf <none> 247.3-3ubuntu3
2021-06-25 19:32:14 status half-installed libsystemd0:armhf 247.3-3ubuntu3
2021-06-25 19:32:14 status unpacked libsystemd0:armhf 247.3-3ubuntu3
2021-06-25 19:32:14 install libtinfo6:armhf <none> 6.2+20201114-2build1
2021-06-25 19:32:14 status half-installed libtinfo6:armhf 6.2+20201114-2build1
2021-06-25 19:32:14 status unpacked libtinfo6:armhf 6.2+20201114-2build1
2021-06-25 19:32:14 install libudev1:armhf <none> 247.3-3ubuntu3
2021-06-25 19:32:14 status half-installed libudev1:armhf 247.3-3ubuntu3
2021-06-25 19:32:14 status unpacked libudev1:armhf 247.3-3ubuntu3
2021-06-25 19:32:14 install libuuid1:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:14 status half-installed libuuid1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:14 status unpacked libuuid1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:15 install libzstd1:armhf <none> 1.4.8+dfsg-2build2
2021-06-25 19:32:15 status half-installed libzstd1:armhf 1.4.8+dfsg-2build2
2021-06-25 19:32:15 status unpacked libzstd1:armhf 1.4.8+dfsg-2build2
2021-06-25 19:32:15 install login:armhf <none> 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 status half-installed login:armhf 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 status unpacked login:armhf 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 install logsave:armhf <none> 1.45.7-1ubuntu2
2021-06-25 19:32:15 status half-installed logsave:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:15 status unpacked logsave:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:15 install lsb-base:all <none> 11.1.0ubuntu2
2021-06-25 19:32:15 status half-installed lsb-base:all 11.1.0ubuntu2
2021-06-25 19:32:15 status unpacked lsb-base:all 11.1.0ubuntu2
2021-06-25 19:32:15 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2021-06-25 19:32:15 status half-configured mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:15 status unpacked mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:15 status half-installed mawk:armhf 1.3.4.20200120-2
